Branch,10th_%,12th_%,Degree_Sem_1_Cgpa,Degree_Sem_2_Cgpa,Degree_Sem_3_Cgpa,Degree_Sem_4_Cgpa,Degree_Sem_5_Cgpa,Programming_Skills,Communication_Skills_Out_Of_5,English_Grammar_Out_Of_5,Status,skill_have
1,85.4,68.53,6.65,6.85,6.96,8.85,9.33,12,4,3,1,"C,C++,Java,Html,CSS,JS"
7,87.6,69.6,5.87,6.13,8,7.04,9.52,0,4,4,0,Solar energy 
1,88.4,86.6,6.81,8.52,7.15,9.41,9.11,3,4,5,1,"I've gained comprehensive knowledge in the fields of Python, Web Development, and ML."
2,80,72,5.95,5.6,5.7,6,9.46,5,4,4,1,"Good at language C, can handle my sql, currently pursuing full stack course "
2,85,69,6.89,7.07,7.54,9.27,9.62,5234,5,5,1,"MYSQL
JSP, SERVLET 
JAVA, Python 
HTML, CSS
Machine learning"
6,87.8,68.53,6.65,6.85,7.57,9.07,9.26,0,4,4,1,"Drawing plans on Autocad, Site Supervision"
2,85,70,6.89,7.07,7.54,9.27,9.62,0,4,5,0,"Communication
Teamwork
Computer programming and coding
Problem-solving
Multitasking
Attention to detail"
4,7.8,68.53,6,6.8,5.92,6.55,8.37,1523,5,5,1,"C,C++,Redhat Linux,HTML,Html5 basics,java basics,IOT ,web design, python basic"
2,88.4,71.3,7.27,7.3,7.2,8.98,9.8,5.25E+11,5,5,1,"Web Technologies :- HTML5, CSS, javascript, React, Bootstrap, Node js
Database :- MySQL, MongoDB
Languages:- C, C++, java , python 

Problem Solving :- Solved 450-500 DSA & Algorithm questions on various platforms hackerrank , hackerearth, geeksforgeeks, Leetcode
*Strong knowledge in DSA and Algorithms
"
1,76.44,68.53,6.65,6.85,6.9,9.6,10,23,3,3,0,"Java , Basic Python , Frontend design"
3,90.4,66.9,6.67,6.43,6.92,9.28,8.63,152,5,5,1,"C++, html, MySQL, core java"
3,79,53.24,6.65,6.85,5.77,7.6,9.26,1,4,3,0,"C, C++"
3,75.2,54.7,6.65,6.85,7.69,6.2,9.3,12,3,3,0,"C++, Java "
1,87.4,78.8,5.91,6.89,8.15,9.56,9.19,4,4,4,1,"Machine Learning, Data Science, Cloud Computing"
2,93.6,68.53,9.11,9.11,9.08,10,10,23,5,5,0,"Web development, Android development, Java programming, Python programming"
7,83.8,68.53,6.65,6.85,7.46,9.42,9.86,0,5,4,1,"SOLID WORKS , AUTOCAD"
7,92,89,9,8.3,8.65,10,9.43,3,4,4,1,"Problem Solving, Understanding Manufacturing processes, Basics of product Designing and Modelling, Basics of Python, Team working Skill."
2,63.81,5,5.37,6.85,5.38,6.5,8.69,232,4,4,1,"JAVA, PYTHON, IOT, HTML, CSS & JAVASCRIPT,"
7,94.8,83.2,8.05,8.7,8.85,10,9.7,0,4,4,0,"NX, Solidworks, Auto cad"
7,94.8,83.2,8.07,8.7,8.85,10,9.7,0,4,4,1,"NX, Solidworks"
1,91,87,8.98,8.19,8.62,9.67,9.75,123425,4,4,0,"1. Android apps in Kotlin & Java
2. Windows app development with Winform, WPF, UWP using .net core (C#).
3. Command line application with Rust.
4. Linux app development with JavaFX.
5. Web development with Typescript, Node, React & Blazor with C#

Also, I can teach myself any language, framework since I'm a self taught developer."
1,80.2,69.2,6.26,7.15,6.92,7.37,9.41,315,4,4,1,"Python - Core + Advanced;
C, C++;
HTML 5;
My SQL;
Data Science & Analytics."
6,84,67,5.9,7,7.6,7.4,9.2,0,4,5,1,"Knowledge of Autocad, Staad pro "
6,74,74.2,6.2,6,6.09,7.06,9.37,0,3,3,0,-
3,72.6,68.53,6.65,6.85,5.88,7.08,9.22,13,5,4,0,"Programming languages

I have done 
programing in c and c++
Programming in python
Arduino
Web development
"
5,85,78,7.78,8.28,7.48,8.45,9.57,321,4,4,0,"Python, Java, C++, C programming languages. MS Excel and MS Word."
7,84.4,68.53,7.02,5.91,6.38,8.02,8,0,4,4,0,MS Excel
1,89.4,65.5,5.91,6.43,5.42,6.04,6.26,32,4,5,0,"C basic programming,Python Programming,HTML,CSS,JavaScript"
2,85,54.92,5.69,6.41,6.69,5.77,9.58,3,4,4,0,"Web designing,Python"
7,80,60,5.65,5.67,7.62,7.73,8.41,0,4,4,0,Know to operate cnc machine and lathe machine 
4,84,80.77,7.9,8.06,8.12,8.66,9.26,53,4,4,1,"Basic of C ,My SQL,python"
6,64,50.4,6.65,6.85,7.65,9.12,9.21,123,4,4,0,"1) AUTOCAD
2)STAAD PRO
3)MS-OFFICE"
6,77.6,61.8,6.5,6.56,5.74,6.04,8.56,0,4,3,0,Field knowledge 
5,88.6,87.8,7.39,7.43,7.74,7.7,8.68,3,3,3,1,I my good at CAD design softwares and basic knowledge of C and Python programming.
3,84.2,65.6,6.65,6.85,7.08,6.6,9.37,412,3,3,0,"Programming 4 languages : C,C++, Assembly language & Java"
1,91.2,68.53,6.46,6.93,0,6.52,7.93,0,5,4,0,programming skills
2,88,72,6.8,6.2,6.81,7.7,9.5,35,4,4,0,"Python, sql, web development"
5,84.4,68.53,6.65,6.85,7.48,7.7,9.32,0,3,4,0,I'm good in  CAD software. I has a good knowledge about machine design and Quality control.
1,75.8,68.53,6.65,6.85,6.62,8.11,9.56,213,5,4,1,"Basic of Java, C++, Python, HTML, CSS, MATLAB, Software testing."
5,85.4,83.4,7.93,7.96,8.64,9.7,9.85,3,4,4,1,"Having Basic knowledge about CAD Software,C-Programming Language, Embedded software, PLC programming, CNC Programming, Python Programming."
3,84,81.23,8.3,7.56,8.15,9.68,9.19,3125,4,3,1,"Preffered Programming Language : Python

Languages kown and other frameworks and software: C, C++, java, Cloud Technology(Gcp, AWS), Robotic Process Automation(RPA), HTML, CSS, JS, Bootstrap, DBMS(MY SQL, MONGODB), PhP"
5,70.2,68.53,6.98,7.54,6.56,6.59,8.32,360,3,3,0,"programing language - python, C
MS office
CAD software - Solidworks, AutoCad, Fusion 360
Electric Vehicles 
"
6,78,69,5.81,6.19,6.7,7.06,9,0,5,5,1,"As a civil engineering student I'm very well of my duties and regarding about my technical skills , I'm aware of all the software that was taught in my learning period "
4,80,73,6.39,6.17,6.19,7.48,9.26,253,4,4,0,"C, Java, SQL, Computer Networks, Linux, python"
3,70,68.53,6.65,6.85,6.92,7.86,9,12,3,3,1,"C++, java "
2,77.2,52.9,5.46,6.13,7.12,6.46,9.04,325,2,2,0,"Python
Java
Html
MySQL"
2,75.8,64.7,5.91,6.43,6.08,6.73,7.77,123,4,4,0,"C, c++, html, css, java, javascript python. "
2,84.2,68.53,5.81,6.85,7.08,6.42,8.92,23,4,4,0,"I have knowledge about web development,Java,python. Done a mini project on IOT,website development."
1,87.6,77.6,6.59,6.96,7.35,8.67,7.93,342,4,4,0,"Python Programming (Intermediate), Machine Learning (Regression-based), HTML, C, Java, etc."
7,78.2,68.53,6.65,6.85,7.23,7.54,9.5,0,4,4,1,WELL I AM INTERESTED IN DESIGNING AND DRAFTING I HAVE GOOD COMMAND ON PTC AND AUTOCAD WELL I AM LEARNING ANSYS TOO
7,93,68.53,6.85,6.85,8.19,9.85,9.67,0,4,4,0,I can use whatever I got throughout my engineering journey to whichever task I will get in future about technical or any other skill. And will help them with my technical skills.
3,82,69,5.9,6.3,6.7,7.8,9.47,2,3,3,0,"Java, c programming"
1,84.86,60.4,5.89,6.48,6.04,6.74,8.89,2,4,4,0,Java  and HTML
1,83.2,77.4,7.07,7.54,8.08,8.26,9.48,5,5,4,1,"Html,css ,sql"
1,9.2,77.4,7.07,7.54,8.08,8.26,9.48,235,5,5,1,"HTML ,CSS, JAVASCRIPT, PYTHON,SQL"
3,80,66,6.33,6.19,6.46,7.88,8.93,3,3,3,1,Python and DBMS
6,72,60,6.65,5.37,5.09,6.03,8.15,234,4,4,0,I am interested in designing of models. I have completed 2d designing of Autocad summer training from college. I have completed 3d fundamental in SketchUp course from Coursera and completed Revit architecture course from Internshala. I have made 3-4 buildings design projects of my own.
3,92,75.38,6.65,6.85,7.19,6.78,8.78,25,4,4,1,JAVA PROGRAMMING AND MySQL
1,67.8,55.6,6.65,6.85,7.54,7.67,9.52,12,3,3,1," C++,Java, Frontend Developer"
2,81,68.53,6.65,6.85,5.42,7.23,9.35,125,3,3,0,"C , C++, java, SQL"
7,89.6,68.53,6.65,6.85,8.08,9.46,9.67,0,3,3,0,Have bsic knowledge of software autocad and Creo . Also did internship during diploma in Larsen & Toubro.
7,95.6,81,8.78,8.59,8.88,9.61,9.38,1,3,3,0,"Basic knowledge of PTC creo paramatric 
Sound knowledge of c/c++ ans SAS analytical language"
2,89.4,78.4,6.28,5.72,6.85,9.54,9.65,325,3,3,1,"
I am a third-year IT Engineering student having good command over some of the languages like Python, PHP ,Javascript, MySQL ,Database ,etc. I am self-motivated and my interest is in Web development and would really love to work on real life projects."
1,86.4,68.53,5.91,6.41,6.23,8.11,9.33,315,5,4,0,"Python, HTML, C++, SQL, MonogoDB"
3,86.4,68.53,6.65,6.85,8.19,7.08,9.04,1,4,4,0,"C++, PCB designing "
1,77.9,64.9,6.63,6.67,7.58,8,9.85,351,3,3,1,"PYTHON(intermediate) , SQL(basic) , C++(basic) "
4,70.2,68.2,6.65,6.85,6.65,6.28,9.11,0,3,3,0,Have a knowledge about electronic basics.
6,94.69,79.9,7.24,7.91,6.89,6.89,9.47,0,3,4,0,"Have some basic Knowledge about software like autocad, stad pro , all ms office applications and and a little about c programming"
1,91.2,73.8,5.56,6.56,6.62,6.96,9.52,31,4,4,0,"Python, data analysis, c++, microsoft office, web development, graphic designing"
1,82.8,73.6,7.04,6.78,8.07,9.48,9.33,325,5,5,1,"Python language, JavaScript, HTML, CSS, django, SQL, JQuery"
1,90,92.77,8.48,8.39,8.38,9.23,9.71,232,5,5,0," C,JAVA and Python Programming.
 Data Structures and Algorithms.
 Advanced Smartphone Application Development using Java.
 Strong theoretical knowledge of Networking, DBMS, OS, System Design and Mathematics 
 with Aptitude."
5,78.9,68.53,6.65,6.85,6.9,7.22,9.04,13603,5,5,0,"Designing softwares like Siemens NX11, Autodesk Inventor, Autodesk Fusion 360, AutoCAD, Unity 3D, Blender. 
Also Training In Teamcentre PLC"
1,81.7,68.53,4.94,5.93,8.23,6.93,8.15,2,4,4,1,"Data warehouse and mining, marketing, basic matlab, C language, Java"
7,89.2,76.6,5.81,6.59,6.96,7.19,9.07,1,4,5,0,"I'm a Mechanical engineering student and I'm interested in Design and automotive part of this Mechanical engineering.
I am good with learning and handling various computer software. Currently I'm learning Solidworks, Ansys and Matlab softwares. I have basic coding knowledge of C++ and I'm trying to learn more of it and other computer languages too."
3,85,78.92,7.5,6.81,6.55,9.52,9.78,0,4,5,0,Basics about Matlab and C
1,9.2,64.7,5.94,6.3,6.85,7.11,9.15,1325,5,5,0,"C, C++, C#, Python, Java, JavaScript, HTML, CSS, SQL, VB.Net, Flask, OpenCV, PIL, Bootstrap, ReactJS, REST APIs, Bash, AWS, Git, Docker"
4,90,74,6.6,7.04,7.2,7.3,8.3,12,4,5,0,"C, c++, product design, linux, java"
2,80,63,5.61,4.67,6.35,7.12,9.23,0,4,4,0,"Have made Clones of YouTube, Spotify, Netflix using REACT JS"
3,72.2,63.2,6.54,6.52,7.27,5.95,9.33,0,4,3,1,Marketing I've done during my drop period I've worked in a BPO company where they used to do sales like thing so from there I've learnt fluency in language along the way to sale a product .I want to learn more like team management n more .thankyou 
7,80,60,5.54,6.37,6.3,6.58,9.93,0,4,4,0,"Solidworks, PTC creo, Basic coding, animation, video editing "
3,77,68.53,6.65,6.85,8.54,6.56,8.85,3,4,4,0,"A bit know knowledge of python.
Also Iam having good hold in Microcontroller."
3,77,68.53,6.65,6.85,8.54,6.56,8.85,3,4,4,0,"Known with Embedded system 
Beginner in coding , python and c learner."
7,90,78,7.48,7.87,8.27,10,9.78,1,4,4,1,"AutoCAD Software , Creo Parametric , C and C++ language and basic knowledge of phyton"
2,90.4,68.53,6.65,6.85,7.35,8.15,9.65,25,4,4,1,"Java, MySql, App Development"
2,91.4,70.7,7.26,8.56,8.31,9.81,10,123,5,4,0,"C , C++ , Java , Python , Html , CSS , etc"
6,80,60,6.57,5.48,6.17,6.31,8.59,0,5,5,0,"I can say that I possess problem solving skills. Then there's creativity, communication as well as industrial skills."
1,69.6,63.3,6.65,6.65,7.65,6.67,9.56,35,4,4,1,"C, HTML, CSS, python ,SQL"
5,84.6,68.53,6.65,6.85,5.81,6.81,9.5,0,4,3,1,"solid works , CAD "
2,86.6,65.2,6.41,6.93,6.35,7.92,8.96,232,4,4,1,"I have good knowledge of front end languages like html, css, javascript and back end language like php. Also, programming languages like python, C and java. "
7,79.2,72.3,6.57,6.28,6.54,8,9.3,23,4,4,1,"I know the HTML, CSS & JAVASCRIPT,  PYTHON,  C LANGUAGE"
1,87.4,65,5.48,6.39,7.58,7.3,8.59,35,4,4,1,"C, Python, SQL"
6,84.67,70.4,7.44,8.37,8.13,9.85,9.22,23,4,5,0,"Basic knowlege of AutoCad (both 2D and 3D), Staad Pro, Concrete Technology, MS Office "
1,80.6,68.53,6.65,6.85,7.19,7.67,9.89,215,4,4,1,"Technical skills includes JAVA, C++, HTML, CSS, SQL "
7,83,64,5.16,5.71,5.75,6.7,8.9,0,5,5,0,"Excellent in Autocad, very good knowledge about MS Word and exel"
1,74.8,74.9,6.43,6.15,5.77,7.96,8.63,3,2,2,1,"C, python and Web Development"
1,87.8,78.8,6.12,6.96,7.12,8,9.75,325,5,4,1,Leadership Teamwork Python Java JavaScript HTML/CSS Django Database Management ReactJS User Interface Design
1,89,68.53,6.65,6.85,6.35,8.41,9.26,2353,4,4,0,"known programming languages: c,java,python. Expertise in: python, mysql. Completed an internship for 3 months as an python developer"
7,85.8,63.5,7.81,8.63,8.69,9.08,9.56,23,4,4,1,"Software & languages such as turbo C, java, python, matlab are practically known to me. Able to create descent presentation. Modelling software practiced are Creo, Solidworks, Ansys. Being a fresher I'm ready to learn new things in new fields."
4,83,64,6.4,7.2,6.38,7.38,9.41,32,4,4,0,"Coding languages known:C,python, java
Aware of pcb making"
4,71.2,70.6,6.67,6.61,6.92,8.41,9.11,0,3,3,0,NA
3,90.2,76.4,5.5,5.7,6,6.3,8.32,12,3,3,1,"Programming Languages : C/C++(Proficient ), JS, Java  
OS: Windows, Linux (ubuntu)
Skills : Web development, Computer Architecture"
1,9.6,66.9,6.41,6.02,5.88,7.67,8.96,352,4,4,1,"Python, MySQL, Java"
7,84.8,68.53,5.69,6.17,5.58,7.31,9.48,0,4,3,0,"Problem solving, pressure management, teamwork"
6,93.4,84.1,7.31,7.69,7.74,8.15,9.26,1,4,4,1,"AutoCAD
StaadPro
RMC design
Advanced MS-Excel
MS-Office
Structural Analysis
Construction equipment management (Nptel Course)
Coding Language: C/C++
"
1,86,83,7.44,7.09,7.08,9.22,9.67,35,4,5,0,"PYTHON, PYTHON LIBRARIES(PANDAS, NUMPY), JS, HTML, CSS, PHP, MYSQL, OPENCV."
7,8.2,65.2,7.06,6.56,7.31,6.85,9.59,31,4,4,1,"I have attended AutoCAD workshop also completed AutoCAD course(I have certificate from BARC), I have completed PYTHON course(I have certificate from BARC) , Basics in C and C++ languages, MS-CIT course "
7,80,70.15,6.65,6.36,7.38,7.77,9.3,3603,4,4,1,"FUSION 360 , PYTHON BASIC"
4,91,65,6.06,6.31,6.27,7.59,9.33,0,4,5,1,"Technical Writing , Project Management , Productivity Software (Google Suite.), Good Communication Skill."
3,72,68.53,6.65,6.85,6.69,6.52,9.7,13,4,4,1,"C++,pcb designing,scilab,matlab,python,ccna"
1,78.6,62.9,6.07,6.46,5.69,7.44,9.7,321,4,4,0,"Python basics, Java(Ongoing),C++,HTML,CSS"
3,73.8,68.53,6.65,6.85,6.77,6.96,9.67,32,4,4,1,Little knowledge about python and java
1,89.4,76.3,8.26,8.06,7.69,9.41,9.7,325,5,5,0,"I've gained comprehensive knowledge in the fields of Python, Java, Database Management and Web Development."
2,88,85.53,8,6.9,6.7,7.9,9.53,32,4,4,0,Coding languages like python and Java
7,82,63,5.69,6.38,6.31,6.69,8.93,0,3,3,1,-
3,71.4,58.6,5.96,6.89,8.15,7.12,9.56,532,5,5,1,I am well versed in web development using HTML 5 CSS 3 and bootstrap. I have knowledge on Python programming language and basic of JavaScript.
6,84.4,85.2,7.44,8.11,8.13,9.19,9.22,0,3,3,0,"Autocad
Staad Pro
Microsoft Excel
Microsoft Word"
3,71.8,68.53,6.65,6.85,6.69,6.16,9.33,3,3,3,0,Python Beginneer
3,87,68.53,6.65,6.85,5.84,7.64,9.44,213,5,5,1,"Beginner in learning Java, C++, Python
Interested in making mini project related to Electronic devices"
1,91.2,68.53,8.22,7.74,8.23,9.81,9.3,2,4,4,0,"Java ,HTML,CSS"
2,87.4,68.53,7.8,8.15,8.25,8.45,9.6,0,5,5,0,Web devolpment coding and networking skills
2,82.2,72.7,6.59,6.96,6.69,7.69,8.85,235,3,3,0,"Web Development-Html,Css,bootstrap,javascript 
Python 
SQL"
1,73.4,64.1,6.57,5.94,6.23,7.33,9.33,0,3,3,1,I'm good at logic building and algorithms. I try to grasp new things as much as I can.
7,93.6,68.53,5.94,6.52,7.46,8.23,9,13,4,4,1,"C, c++, python,basics of django, html"
1,76,68,6.2,6.85,6.03,7.07,9,3,5,5,0,Python 
3,92.8,71.2,6.26,6.87,6.69,9.64,9.93,0,5,5,1,"BASICS OF MATLAB, BASICS OF CISCO PACKET TRACER, MS OFFICE BASICS, BASICS OF C"
3,84.4,65.8,6.56,6.7,7.04,6.44,9.7,3,3,2,1,"I have completed network cybersecurity course.I'm able to devlope an apps by using python, as well as good at cloud computing."
1,68.4,68.53,6.65,6.85,6.54,8.19,9.41,0,4,5,1,Manual Testing 
2,85,71,5.6,6,5.63,7.08,9.58,35,4,4,1,"Python, Web development, SQL "
1,92.8,68.53,9,7.78,7.42,9.41,10,23553,4,4,0,"C, Java(Intermediate), Python(Basics), Data Structure & Algorithm, Oracle SQL, MySQL, HTML5, Familiar with - CSS3, MongoDB."
1,93.2,68.53,6.48,7.11,7.35,9.56,9.85,123,4,4,1,"C,C++,java, python,web development (MERN),ML"
3,64.36,68.53,6.65,6.85,6.54,6.76,9.33,2,4,4,1,Studies diploma from Computer Technology so well known with Java Programming
3,76.2,63.8,5.74,6.81,6.96,8.56,9.48,3,3,2,0,"PYTHON , WEB DEVELOPMENT"
1,92,85.23,8.67,8.04,7,8.67,9.78,24,5,5,1,"I am great in Java Programming ,C Programming ,I am strong with DBMS concepts and machine learning concepts"
6,90.6,68.53,6.65,6.85,8.13,9.19,9.11,0,3,3,1,"Auto CAD, Excel"
2,86,68.53,6.4,6.1,5.3,5.2,8.31,235,4,4,1,"Java, python, mysql, datastructure, web development"
5,70.8,60.1,5.54,6.94,5.93,6.56,8.46,4,4,4,1,"I worked as a electric department head for national electric kart championship 
During this event i got to know concept and design challenges i designed the electrical system for the gokart .
I have been working with raspberry Pi and Arduino for about 4 years made some interesting projects.
Currently im working as a intern developing a Quadcopter for mechwings enterprises. "
3,77.84,68.53,6.65,6.85,8.31,6.36,9.3,3,4,4,0,learning python 
1,93.6,82.6,9.04,8.3,7.65,9.67,9.7,0,4,4,0,Programming and web development 
1,90,76.31,6.83,6.85,7.46,9.37,9.93,35,4,4,1,"python, sql, basic android development"
1,91.4,68.53,6.65,6.85,6.19,7.15,9.63,123,5,5,1,"C , C++, Java , HTML/CSS , JavaScript , PHP , Python"
3,73.4,6,4.6,5.2,8.27,5.28,9.19,0,4,4,1,Electronics and Telecommunications Engineering
1,81.6,72.3,6.19,6.78,6.88,9.22,9.85,123,5,5,1,C C++ JAVA PYTHON DBMS
1,93,74,6.72,6.07,7.46,9.07,9.44,32,3,3,0,"Have experience and knowledge in python,java,cpp."
5,79.2,60.6,6.85,6.3,6,7.59,9.07,23,4,4,1,"Coding - C#,java, python,
 Design- AutoCAD, Inventor, Solid work"
1,91.4,65.6,7.44,7.15,7.19,9.37,9.85,132,5,4,1,"Basic knowledge of C, C++ and Python, Core Java."
3,75.6,61.2,5.87,6.19,5.81,8.08,9.26,2,3,3,1,"MS OFFICE- MS WORD, PPT
PROGRAMMING- HTML , C PROGRAMMING, JAVA"
1,91.2,80.3,7.19,8.15,7.92,9.37,8.37,3535,3,3,1,"Programming Languages : Python, C
Web Development : HTML5, CSS3
DBMS : MySQL"
1,82.4,68.53,5.52,5.17,6,7.15,9.11,354,4,4,0,"Python, SQL, Machine Learning, Data Science and Data Analytics, Deep Learning, Front-End Web Development, etc."
4,89.6,77.5,6.7,6.26,7.46,7.21,8.96,21,3,3,0,"Proficient in Java, Basic Knowledge of c++, Knowledge about Data Structures and Algorithms, Knowledge about web development.  "
3,75.6,59.4,5.87,6.89,6.12,6.68,9.07,0,3,3,1,"Programming languages , MS-office , typing master and time management"
2,90.2,73,7.19,8.11,7.85,9,9.27,23,4,5,1,"Web Development, C, Java, Python,  Data Structures, Git and GitHub, IOT."
5,70,52.62,5.43,6.85,6.81,5.48,7.71,0,2,3,0,Good understanding of programming
1,75,54,5.89,5.94,6.15,6.81,9.37,32,4,5,1,"Python,C,Java"
6,76.6,68.53,6.65,6.85,7.39,8.15,0,0,4,4,0,"Autocad 
Stad pro"
3,84.2,68.53,6.3,5.59,6.5,5.87,7.89,32,3,4,0,"python,java"
7,81.8,74.9,7.59,6.59,8.04,9.23,8.85,0,4,4,0,"AutoCAD, PTC Creo, Basic of C programing, MS Office"
1,90.4,75.2,6.65,6.85,5.92,7.59,8.61,2132,5,5,1,"I have learnt Java , C , C++ , Python , JavaScript , PHP , HTML , CSS , Bootstrap. "
5,84.8,68.53,6.65,6.85,6.67,7.44,8.89,0,3,3,1,Interested in Cad Designing 
1,79,60.15,5.07,5.5,8.77,5.81,9.04,2,3,4,0,"I can code in c , java languages also web languages like html,css,php"
1,89.4,87,9.31,8.74,9.54,10,10,32,4,4,1,"Good knowledge of programming in Python , Java Script,  "
1,91,84.15,7.93,9.11,9.31,10,10,35,4,4,0,"C,Python, Sql"
1,77,68.53,6.65,6.85,51.11,71.44,88.635,53,3,3,0,"MYSQL,PYTHON,C"
3,60,68.53,6.65,6.85,8.8,6,8.3,3215,4,4,1,"Programming (python, java, c, c++,SQL)"
3,76,54,6.65,6.85,8.31,6.48,8.81,0,4,4,0,C language
2,70.2,68.53,6.33,6.7,7.85,8.27,9.31,253,4,4,0,"I have good knowledge of html CSS JavaScript reactJs nodejs bootstrap vuejs basic PHP C programming firebase basic database Adobe and figma for UI/UX design . I have used react And firebase for developing two to three websites and I've learned nodejs and vuejs  while doing my internship at skrapnest , rest all were there in my academics so I've learnt from there. Inspite from this I also have basic knowledge about python, wordpress,mongoDB. I also know to create an API  as well."
2,78,60,5.5,7.48,6.27,7.75,9.77,3212,4,4,1,"My preferred languages are Python and Java , I am familiar with HTML , CSS , C language and C++ , Java script ."
1,82.8,64.3,5.91,5.65,5.27,6.78,9.74,3152,4,5,0,"Programming Skills: Python, c, C++, PHP, SQL
Web: HTML, CSS, Javascript
Graphical : Photoshop, Figma ,Adobe 
"
1,82,68.53,6.65,6.85,7.58,9.81,9.85,2315,4,4,1,"java(intermediate), Python(basic), C/C++(intermediate) , Dart,
HTML/CSS(basic) , Flutter, Firebase , MySQL, Android Studio, Visual Studio       
"
1,96,78.15,6.83,7.41,6.73,8.78,9.7,235,5,5,1,"Java, Python,MySQL"
7,85.4,68.53,6.65,6.85,6.92,8.27,9.33,1,4,4,1,"Autocad, creo, M/C operating, 1 year experience in QA department in bajaj automobiles, QA audit, QC tools, Quality control, industry based project, all basic engineering tools handling knowledge, basic computer knowledge, solar system."
2,83.2,68.3,6.61,6.46,6.62,7.19,9.73,32,4,4,0,"I am full stack developer with expertise in HTML,CSS,Sass,Js, Bootstrap, Mongodb,Nodejs,Vuejs,Reactjs,firebase
Other Known languages:Python,java,c"
5,86,72,6.7,7.2,7.7,8.44,9.5,13,5,5,1,"Programming Languages: C++, Python, Open-CV, Arduino, Micro-Python.
Software Tools: Auto-CAD, MATLAB, Simulink, Solidworks, Ansys-Workbench, Proteus Design, FESTO FluidSim Hydraulics, Pneumatics, Learning Delta Electronics PLC Automation Software.
Machines: CNC Lathe, Milling using FANUC Controller, SMC Hydraulics and Pneumatics systems.
"
5,70,70,6.65,6.85,7,6,6.75,13,5,5,0,"CAD , C++ ,python "
1,90.8,68.53,7.52,7.33,8.12,9.7,10,235,4,4,1,I am well equipped with JAVA also have knowledge about Python and MYSQL
1,90.8,68.53,7.53,7.33,8.12,9.7,10,253,4,4,1,"Java Core and Advanced,MySQL, Python with Data Science,Android Development, Web Development"
4,80,60.77,5.8,6.74,6.4,6.93,8.48,3,4,4,0,Beginner in Python and still learning. Will complete a project on python by July. Beginner at C language
3,72.2,68.53,6.65,6.85,6.58,6.16,9.37,2,3,3,1,"Basic knowledge of electronics equivalent , java language,c language"
7,89.4,68.53,6.65,6.85,7.77,9.85,9.67,360,5,5,0,"I have good technical knowledge along with intermediate skill of various  CAD software  like solidworks  , PTC creo , Autocad , and fusion 360 .
"
5,88,68.53,6.65,6.85,7.95,6.9,9.5,0,4,4,0,PLC Programming 
1,82.2,60.7,5.3,5.69,6.12,6.26,8.56,1325,4,4,0,"C, C++, Python, JavaScript, Html, Css, Bootstrap, MySql, Flask"
3,84.6,57.3,6.11,6.33,6.12,8.24,9.37,1253,4,4,1,"1. C programming , C+++
2. Database - MySQL
3. Basics of Python"
3,84.6,6,6.26,5.91,7.19,7.36,9.74,0,5,5,0,"I am a fast learner, currently learning to code "
3,76.6,62.4,5.19,5.74,6.27,6.44,9.26,3,3,3,0,I have. Done android development. With help of python
3,82,63,6.1,5.2,6.3,6.52,7.75,352,5,5,0,"Programming skills will include Python, SQL,HTML, Java. Spreadsheets skills like Excel, Word, Powerpoint. Fluent in Project management. High Analytical and creative thinking skills"
1,91,68,6.7,6.87,5.65,7.67,9.78,3,5,5,1,"C programming, Python, DBMS"
5,82.4,58.9,6.65,6.85,7.59,7.19,9.61,0,4,3,0,"CAD, Solidworks, "
5,70.6,68.53,6.65,6.85,7.19,6.74,8.96,3,5,5,0,Fluent in C And Python progamming along with good core mechanical and electonics understanding
1,79.4,68.53,6.65,6.85,5.96,7.63,9.3,32,3,4,1,"CSS ,HTML ,Python ,JavaScript"
2,83.25,65.2,5.93,6.64,6.27,6.92,8.65,2352,4,4,1,"Java, python, SQL, html, css, javascript"
1,91,70.62,8.41,9.19,7.65,8.56,9.7,23524,5,5,0,"Languages		         :  Java, Python, C, SQL, PHP, JavaScript, Html & CSS.
Programming Concepts  : OOP’s, Data structures and algorithms, Machine Learning (ML),              Data analytics, DBMS, Natural Language Programming(NLP), Web development.
"
7,86,80.77,7,8,7.69,8.65,9.3,0,3,3,1,"I HAVE KNOWLEDGE ABOUT AUTOCAD,PTC CREO,SOLIDWORKS RELATED TO PARTS MODELING"
3,85,68,6.61,6.85,7.57,8.8,9.52,123,3,3,1,"C++ core and advance , JAVA , python , basic web development"
1,76.2,67.3,6.44,6.52,5.85,7.37,9.78,13,3,4,0,"Have knowledge about C,C++ and Python."
3,83.6,77.5,7.44,7.04,6.54,8.04,9.48,2,4,4,0,JAVA and Basics of dbms
1,91.5,81.4,7.72,8.15,8.38,9.37,8.96,2354,5,5,1,"C, Core Java, Python, MySQL, Web Development using Django, Machine Learning"
2,84.8,70.9,5.87,6.89,5.81,6.58,9,3,3,3,1,"Html , ccs and python "
7,88.6,76.7,7.7,6.19,6.88,6.42,9.11,0,4,5,0,"Core Mechanical Skills, Analysis, Planning, etc"
1,83.8,60.9,5.74,6.94,5.5,7.19,9.59,35,4,4,1,"Programming Language - C, Python
Web - HTML, CSS, Django
Database - Mysql server"
